source,text,created_at,sentiment
Twitter for Android,"['well', 'year', 'offici', 'begun', 'mani', 'stop', 'plan', 'work', 'hard', 'win', 'turn', 'countri', 'around']",2016-01-01 23:00:09+00:00,3
Twitter for Android,"['go', 'mississippi', 'tomorrow', 'night', 'hear', 'crowd', 'go', 'massiv', 'look', 'forward']",2016-01-01 23:24:13+00:00,3
Twitter for Android,"['person', 'hillari', 'clinton', 'least', 'want', 'run', 'far', 'largest', 'voter', 'turnout', 'ever', 'swamp']",2016-01-01 23:40:51+00:00,1
Twitter for Android,"['sad', 'case', 'total', 'embarrass', 'famili', 'announc', 'continu', 'spend', 'trump', 'hit', 'ad']",2016-01-02 12:10:21+00:00,1
Twitter for Android,"['low', 'energi', 'focu', 'special', 'interest', 'money', 'mani', 'peopl', 'ahead', 'poll', 'chanc']",2016-01-02 12:17:12+00:00,1
Twitter for Android,"['hillari', 'clinton', 'said', 'k', 'ban', 'muslim', 'israel', 'build', 'wall', 'k', 'u', 'must', 'vigil']",2016-01-02 13:23:00+00:00,1
Twitter for Android,"['hillari', 'clinton', 'strength', 'stamen', 'presid', 'jeb', 'bush', 'low', 'energi', 'individu', 'hillari', 'much', 'better']",2016-01-02 20:00:17+00:00,1
Twitter for Android,"['hope', 'bill', 'clinton', 'start', 'talk', 'woman', 'issu', 'voter', 'see', 'hypocrit', 'hillari', 'abus', 'woman']",2016-01-02 20:04:58+00:00,1
Twitter for Android,"['look', 'money', 'special', 'interest', 'lobbyist', 'give', 'candid', 'bewar', 'candid', 'mere', 'puppet']",2016-01-02 21:01:10+00:00,3
Twitter for Android,"['rememb', 'self', 'fund', 'campaign', 'one', 'either', 'parti', 'control', 'lobbyist', 'special', 'interest', 'u']",2016-01-02 21:07:34+00:00,3
Twitter for Android,"['arriv', 'mississippi', 'ralli', 'word', 'crowd', 'overflow', 'massiv', 'amaz', 'even']",2016-01-03 00:24:45+00:00,3
Twitter for Android,"['return', 'mississippi', 'great', 'even']",2016-01-03 05:36:40+00:00,3
Twitter for Android,"['hillari', 'clinton', 'lie', 'last', 'week', 'said', 'isi', 'made', 'video', 'video', 'isi', 'made', 'husband', 'degener']",2016-01-03 13:59:20+00:00,1
Twitter for Android,"['al', 'shabbab', 'isi', 'made', 'video', 'front', 'runner', 'speak', 'must', 'hillari', 'lie']",2016-01-03 14:12:02+00:00,1
Twitter for Android,"['hillari', 'said', 'gun', 'keep', 'safe', 'realli', 'belief', 'demand', 'heavili', 'arm', 'bodyguard', 'quickli', 'disarm']",2016-01-03 14:27:19+00:00,1
Twitter for Android,"['anybodi', 'rememb', 'bill', 'clinton', 'work', 'long', 'hard', 'hillari', 'lost', 'bill', 'watch']",2016-01-03 17:55:26+00:00,1
Twitter for Android,"['said', 'today', 'wrong', 'attack']",2016-01-03 18:13:29+00:00,1
Twitter for Android,"['terribl', 'today', 'face', 'nation', 'focu', 'poor', 'level', 'concentr', 'correct', 'hillari', 'lie']",2016-01-03 19:03:56+00:00,1
Twitter for Android,"['iran', 'money', 'els', 'given', 'obama', 'want', 'way', 'take', 'saudi', 'arabia', 'oil', 'found']",2016-01-03 20:00:58+00:00,1
Twitter for iPhone,"['worst', 'thing', 'hillari', 'could', 'husband', 'campaign', 'watch']",2016-01-03 23:18:47+00:00,1
Twitter Web Client,"['look', 'forward', 'lowel', 'massachusett', 'today', 'hear', 'big', 'crowd', 'expect', 'lot', 'fun']",2016-01-04 17:31:48+00:00,3
Twitter Web Client,"['woodi', 'johnson', 'owner', 'nyjet', 'financ', 'chairman', 'woodi', 'would', 'w', 'would', 'playoff', 'least']",2016-01-04 20:00:04+00:00,1
Twitter for Android,"['ralli', 'lowel', 'massachusett', 'amaz', 'peopl', 'go', 'wild', 'make', 'america', 'great']",2016-01-05 02:20:58+00:00,3
Twitter Web Client,"['wow', 'circul', 'nh', 'drop', 'around', 'bad', 'manag', 'wonder', 'beg', 'ad']",2016-01-05 16:53:31+00:00,1
Twitter Web Client,"['know', 'best', 'knowledg', 'play', 'golf', 'w', 'think', 'mani', 'tv', 'commerci', 'bore', 'fan']",2016-01-05 17:42:47+00:00,1
Twitter for Android,"['germani', 'go', 'massiv', 'attack', 'peopl', 'migrant', 'allow', 'enter', 'countri', 'new', 'year', 'eve', 'disast', 'think']",2016-01-06 14:25:28+00:00,1
Twitter Web Client,"['cheat', 'golf', 'cheat', 'game', 'choic', 'stop', 'commerci']",2016-01-06 19:22:16+00:00,1
Twitter Web Client,"['like', 'golf', 'swing', 'athlet', 'mani', 'club', 'championship', 'play', 'chariti']",2016-01-06 19:22:27+00:00,1
Twitter for iPhone,"['huge', 'crowd', 'expect', 'tomorrow', 'night', 'vt', 'polic', 'say', 'first', 'come', 'first', 'serv', 'arriv', 'earli']",2016-01-06 20:22:41+00:00,3
Twitter Web Client,"['interview', 'today', 'pleas', 'join', 'u', 'pm', 'et']",2016-01-06 21:09:42+00:00,1
Twitter for Android,"['fail', 'newspap', 'n', 'h', 'sent', 'trump', 'organ', 'letter', 'ask', 'take', 'ad', 'stupid', 'desper']",2016-01-07 11:06:43+00:00,1
Twitter for Android,"['one', 'worst', 'perform', 'stock', 'p', 'last', 'year', 'plung', 'disloy', 'compani', 'anoth', 'win', 'trump', 'boycott']",2016-01-07 11:15:54+00:00,2
Twitter for Android,"['wise', 'move', 'ted', 'cruz', 'renounc', 'canadian', 'citizenship', 'month', 'ago', 'senat', 'john', 'mccain', 'certainli', 'friend', 'ted']",2016-01-07 11:28:51+00:00,3
Twitter for Android,"['beauti', 'burlington', 'vermont', 'tonight', 'ralli', 'great', 'fun', 'make', 'america', 'great']",2016-01-07 13:17:40+00:00,3
Twitter Web Client,"['massiv', 'crowd', 'vt', 'tonight', 'venu', 'big', 'enough', 'offici', 'say', 'outsid', 'event', 'sound', 'system', 'arriv', 'earli']",2016-01-07 16:05:15+00:00,3
Twitter Web Client,"['ted', 'free', 'legal', 'advic', 'pre', 'empt', 'dem', 'citizen', 'issu', 'go', 'court', 'seek', 'declaratori', 'judgment', 'win']",2016-01-07 16:14:38+00:00,2
Twitter Web Client,"['idea', 'whose', 'campaign', 'disast', 'tri', 'use', 'last', 'name', 'asham']",2016-01-07 16:26:14+00:00,1
Twitter Web Client,"['weak', 'ineffect', 'ad', 'show', 'statement', 'debat', 'respons', 'fals', 'advertis']",2016-01-07 16:30:06+00:00,1
Twitter Web Client,"['great', 'head', 'total', 'freefal', 'whoopi', 'goldberg', 'terribl', 'sad']",2016-01-07 21:06:00+00:00,1
Twitter Web Client,"['joy', 'behar', 'fire', 'last', 'show', 'lack', 'rate', 'even', 'wors', 'love', 'barbara']",2016-01-07 21:06:19+00:00,2
Twitter Web Client,"['leav', 'burlington', 'vermont', 'wild']",2016-01-07 21:11:05+00:00,3
Twitter for Android,"['great', 'time', 'burlington', 'vermont', 'crowd', 'amaz']",2016-01-08 03:08:14+00:00,3
Twitter for Android,"['hank', 'greenberg', 'formerli', 'aig', 'gave', 'million', 'campaign', 'month', 'ago', 'happi', 'total', 'wast', 'money']",2016-01-08 15:57:17+00:00,1
Twitter for iPhone,"['way', 'south', 'carolina', 'big', 'crowd', 'look', 'forward']",2016-01-08 21:20:02+00:00,3
Twitter for iPhone,"['hope', 'worker', 'demand', 'rep', 'endors', 'donald', 'j', 'trump', 'nobodi', 'know', 'job', 'like', 'let', 'sell']",2016-01-08 22:03:35+00:00,3
Twitter for iPhone,"['love', 'see', 'union', 'non', 'union', 'member', 'alik', 'defect', 'trump', 'creat', 'job', 'like', 'one', 'els', 'dem', 'leader', 'compet']",2016-01-08 22:09:20+00:00,3
Twitter for Android,"['venu', 'wonder', 'south', 'carolina', 'soon', 'big', 'traffic', 'back', 'tremend', 'crowd', 'wild']",2016-01-08 23:39:37+00:00,3
Twitter for iPhone,"['great', 'even', 'sc', 'tonight', 'fire', 'marshal', 'would', 'let', 'everyon', 'turn', 'away', 'thank', 'come']",2016-01-09 02:08:42+00:00,3
Twitter for Android,"['pat', 'buchanan', 'gave', 'fantast', 'interview', 'morn', 'way', 'go', 'pat', 'way', 'ahead', 'time']",2016-01-09 14:22:36+00:00,3
Twitter for Android,"['south', 'carolina', 'ralli', 'last', 'night', 'unbeliev', 'excit', 'fun', 'iowa', 'two', 'big', 'ralli', 'pack', 'hous', 'love']",2016-01-09 14:26:28+00:00,3
Twitter for Android,"['constitut', 'law', 'expert', 'laurenc', 'tribe', 'harvard', 'say', 'wrong', 'say', 'natur', 'born', 'citizen', 'settl', 'matter', 'settl']",2016-01-09 15:41:44+00:00,2
Twitter for iPhone,"['watch', 'appreci', 'statement', 'wait', 'long', 'time', 'thank']",2016-01-09 16:06:56+00:00,3
Twitter for iPhone,"['time', 'magazin', 'cover', 'week', 'david', 'von', 'drehl', 'written', 'one', 'best', 'stori', 'ever']",2016-01-09 17:56:06+00:00,3
Twitter for iPhone,"['protest', 'anyth', 'w', 'abc', 'debat', 'uneth', 'record', 'give', 'right', 'involv']",2016-01-09 18:01:00+00:00,1
Twitter for iPhone,"['interview', 'chri', 'wallac', 'fox', 'tomorrow', 'morn', 'tune']",2016-01-10 00:12:20+00:00,2
Twitter for iPhone,"['meet', 'press', 'tomorrow', 'morn', 'enjoy']",2016-01-10 00:12:43+00:00,2
Twitter for iPhone,"['want', 'thank', 'peopl', 'iowa', 'unbeliev', 'day', 'crowd', 'amaz', 'back', 'tuesday']",2016-01-10 00:13:03+00:00,3
Twitter for Android,"['yesterday', 'iowa', 'amaz', 'two', 'speech', 'front', 'two', 'great', 'sold', 'crowd', 'love', 'candid', 'self', 'fund']",2016-01-10 18:23:57+00:00,3
Twitter for Android,"['poll', 'easili', 'beat', 'hillari', 'clinton', 'havn', 'even', 'focus', 'yet', 'way', 'make', 'america', 'great']",2016-01-10 18:28:54+00:00,3
Twitter for Android,"['head', 'reno', 'nevada', 'big', 'ralli', 'good', 'poll', 'numberd']",2016-01-10 18:31:47+00:00,3
Twitter for iPhone,"['highli', 'uneth', 'behavior', 'includ', 'beg', 'ad', 'question', 'enough', 'endors', 'candid', 'win']",2016-01-10 21:06:07+00:00,1
Twitter for iPhone,"['realli', 'unfair', 'conflict', 'candid', 'said', 'allow', 'abc', 'agre']",2016-01-10 21:06:26+00:00,2
Twitter for iPhone,"['ul', 'lost', 'credibl', 'joe', 'mcquaid', 'w', 'circul', 'drop', 'record', 'low', 'worthi', 'repres', 'great', 'peopl', 'nh']",2016-01-10 21:06:48+00:00,1
Twitter for iPhone,"['union', 'leader', 'refus', 'comment', 'kick', 'abc', 'news', 'debat', 'like', 'dog', 'starter', 'tri', 'get', 'new', 'publish']",2016-01-10 23:23:07+00:00,1
Twitter for iPhone,"['w', 'allow', 'hater', 'racist', 'like', 'wast', 'good', 'airtim', 'much', 'better']",2016-01-11 14:16:36+00:00,1
Twitter for iPhone,"['congratul', 'friend', 'win', 'goldenglob', 'wonder', 'guy', 'creat', 'someth', 'special', 'well', 'deserv']",2016-01-11 14:18:34+00:00,3
Twitter for iPhone,"['great', 'job', 'fox', 'morn', 'send', 'book', 'immedi', 'thank', 'much']",2016-01-11 14:41:52+00:00,3
Twitter for iPhone,"['profession', 'news', 'throw', 'fail', 'newspap', 'debat', 'paper', 'surviv', 'highli', 'uneth']",2016-01-11 15:09:17+00:00,3
Twitter for iPhone,"['congratul', 'face', 'nation', 'highest', 'rate', 'year', 'million', 'peopl', 'watch', 'interview', 'thank']",2016-01-11 19:10:00+00:00,3
Twitter for iPhone,"['retir', 'eleph', 'circu', 'never']",2016-01-11 19:10:53+00:00,2
