,source,text,created_at,sentiment
3,Twitter for Android,"Well, the year has officially begun. I have many stops planned and will be working very hard to win so that we can turn our country around!",2016-01-01 23:00:09+00:00,positive
8,Twitter for Android,I will be going to Mississippi tomorrow night - hear the crowds are going to be massive! Look forward to it.,2016-01-01 23:24:13+00:00,positive
10,Twitter for Android,"The person that Hillary Clinton least wants to run against is, by far, me. It will be the largest voter turnout ever - she will be swamped!",2016-01-01 23:40:51+00:00,negative
14,Twitter for Android,".@JebBush is a sad case. A total embarrassment to both himself and his family, he just announced he will continue to spend on Trump hit ads!",2016-01-02 12:10:21+00:00,negative
15,Twitter for Android,".@JebBush is a low energy ""stiff"" who should focus his special interest money on the many people ahead of him in the polls. Has no chance!",2016-01-02 12:17:12+00:00,negative
16,Twitter for Android,"Hillary Clinton said that it is O.K. to ban Muslims from Israel by building a WALL, but not O.K. to do so in the U.S. We must be vigilant!",2016-01-02 13:23:00+00:00,negative
17,Twitter for Android,"Hillary Clinton doesn't have the strength or stamina to be president. Jeb Bush is a low energy individual, but Hillary is not much better!",2016-01-02 20:00:17+00:00,negative
18,Twitter for Android,I hope Bill Clinton starts talking about women's issues so that voters can see what a hypocrite he is and how Hillary abused those women!,2016-01-02 20:04:58+00:00,negative
19,Twitter for Android,"When I look at all of the money the special interests and lobbyists are giving to candidates, beware - the candidates are mere puppets $$$$!",2016-01-02 21:01:10+00:00,positive
20,Twitter for Android,"Remember, I am self-funding my campaign, the only one in either party. I'm not controlled by lobbyists or special interests-only the U.S.A.!",2016-01-02 21:07:34+00:00,positive
22,Twitter for Android,Just arrived in Mississippi for the rally. Word is that the crowd is overflowing and massive. Will be an amazing evening!,2016-01-03 00:24:45+00:00,positive
28,Twitter for Android,Just returned from Mississippi - a great evening.,2016-01-03 05:36:40+00:00,positive
29,Twitter for Android,Hillary Clinton lied last week when she said ISIS made a D.T. video. The video that ISIS made was about her husband being a degenerate.,2016-01-03 13:59:20+00:00,negative
30,Twitter for Android,"Al-Shabbab, not ISIS, just made a video on me - they all will as front-runner & if I speak out against them, which I must. Hillary lied!",2016-01-03 14:12:02+00:00,negative
31,Twitter for Android,Hillary said that guns don't keep you safe. If she really believes that she should demand that her heavily armed bodyguards quickly disarm!,2016-01-03 14:27:19+00:00,negative
33,Twitter for Android,"Does anybody remember when Bill Clinton, in 2008, worked long and hard for Hillary? She LOST! Now Bill is at it again. Just watch.",2016-01-03 17:55:26+00:00,negative
34,Twitter for Android,".@chucktodd said today on @meetthepress that ""attacking Bill to get to Hillary has never worked before."" Wrong - attacked him in '08 & won!",2016-01-03 18:13:29+00:00,negative
35,Twitter for Android,".@RuthMarcus of the @washingtonpost was terrible today on Face The Nation.No focus, poor level of concentration-but correct on Hillary lying",2016-01-03 19:03:56+00:00,negative
38,Twitter for Android,"Iran, with all of the money and all else given to them by Obama, has wanted a way to take over Saudi Arabia & their oil. THEY JUST FOUND IT!",2016-01-03 20:00:58+00:00,negative
39,Twitter for iPhone,The worst thing Hillary could do is have her husband campaign for her. Just watch.,2016-01-03 23:18:47+00:00,negative
43,Twitter Web Client,"I look forward to being in Lowell, Massachusetts, today. I hear a very big crowd is expected--we will have lots of fun!",2016-01-04 17:31:48+00:00,positive
44,Twitter Web Client,"Woody Johnson, owner of the NYJets, is @JebBush’s finance chairman. If Woody would’ve been w/me, he would’ve been in the playoffs, at least!",2016-01-04 20:00:04+00:00,negative
45,Twitter for Android,"The rally in Lowell, Massachusetts, was amazing. 10,000 people going wild. MAKE AMERICA GREAT AGAIN!",2016-01-05 02:20:58+00:00,positive
56,Twitter Web Client,"Wow @UnionLeader circulation in NH has dropped from 75,000 to around 10—bad management. No wonder they begged me for ads.",2016-01-05 16:53:31+00:00,negative
57,Twitter Web Client,"I don’t know @SamuelLJackson, to best of my knowledge haven't played golf w/him & think he does too many TV commercials—boring. Not a fan.",2016-01-05 17:42:47+00:00,negative
71,Twitter for Android,Germany is going through massive attacks to its people  by the migrants allowed to enter the country. New Years Eve was a disaster. THINK!,2016-01-06 14:25:28+00:00,negative
73,Twitter Web Client,I don’t cheat at golf but @SamuelLJackson cheats—with his game he has no choice—and stop doing commercials!,2016-01-06 19:22:16+00:00,negative
74,Twitter Web Client,Don’t like @SamuelLJackson’s golf swing.  Not athletic. I’ve won many club championships. Play him for charity!,2016-01-06 19:22:27+00:00,negative
75,Twitter for iPhone,"Huge crowd expected tomorrow night! VT Police say first come, first serve. Arrive early!",2016-01-06 20:22:41+00:00,positive
76,Twitter Web Client,I will be on @wolfblitzer for a @CNNSitRoom interview today. Please join us 5PM ET.,2016-01-06 21:09:42+00:00,negative
